capital,company_name,garden,income_growth,is_sold,market_value,net_asset,net_capital,net_profit,net_profit_growth,net_profit_t,net_profit_t_1,net_profit_t_2,net_profit_t_3,status,stock_code,stock_share,target_income,target_industry,total_debt
11970.81323,金开利,股转系统挂牌股票(非园区类,2.3169999999999997,0,37462.5,,7219.083052,-46.07686,87.8497,,-86.55524327942,-162.59376483466062,-305.43189946061545,正常交易,831052.OC,1916.325,1527.106578,建筑业,4751.730178
60500.187295,美佳新材,股转系统挂牌股票(非园区类,3.0337,0,37800.0,,21227.131366999998,867.649622,-25.146,,649.47044805188,486.1546091847542,363.9061711591559,正常交易,831053.OC,2695.625,17758.219798,制造业,39273.055927999994
14933.645263,巴陵节能,股转系统挂牌股票(非园区类,7.9976,0,4800.0,,5945.795991,166.376272,-59.4901,,67.39886141092799,27.30321135870552,11.060503618200247,正常交易,831054.OC,,3826.899418,制造业,8987.849272
7820.378153000001,三优光电,厦门火炬高新区,24.656999999999996,0,2500.0,,4145.671004,257.556985,56.5563,,403.221686107555,631.2689525676021,988.291315188593,正常交易,831055.OC,1054.45,4304.537532,制造业,3674.7071490000003
,千叶药包,贵阳高新区,,0,3105.0,,,,,,,,,正常交易,831056.OC,105.0,,制造业,
22660.326837,多普泰,股转系统挂牌股票(非园区类,17.111,0,4006.0,,13297.351406,1751.964427,40.4087,,2459.910476413149,3453.928321095509,4849.615854582031,正常交易,831057.OC,1543.4139,14469.256617,制造业,9362.975431
2739.067446,天颖环境,武汉东湖,15.4618,0,1725.0,,1792.1103480000002,-95.21479,-49.0217,,-48.53888129057,-24.74429652095064,-12.614221713339782,正常交易,831058.OC,213.75,536.72154,社会服务业,946.9570980000001
7163.795901,霍斯通,股转系统挂牌股票(非园区类,71.108,0,3125.0,,3664.860067,-573.18044,16.7014,,-668.90959800616,-780.6268656075608,-911.0024809401419,正常交易,831059.OC,1825.0,1259.882083,制造业,3216.732872
3299.1833309999997,天香苑,股转系统挂牌股票(非园区类,19.8157,0,1778.125,,2311.4861309999997,344.514948,152.4574,,869.7534803321521,2195.7570228560626,5543.351090219823,正常交易,831060.OC,491.4062,2574.078958,制造业,864.850283
17341.588659999998,中瀛鑫,股转系统挂牌股票(非园区类,55.5985,0,30600.0,,8077.566609,617.549915,71.3463,,1058.148930005645,1813.0990400542626,3106.6781204684967,正常交易,831061.OC,2734.7591,3308.603265,信息技术业,9264.022051
1669.972947,远古信息,西安高新区,148.0553,0,1000.0,,1110.6069710000002,26.637812,168.1132,,71.419490163184,191.48508050019782,513.3967768516563,正常交易,831062.OC,,505.812242,信息技术业,559.3659759999999
25901.655838,安泰股份,合肥高新区,123.581,0,69643.9572,,14857.967016999999,767.696465,339.7228,,3375.7363913990202,14843.882580878731,65271.936113352225,正常交易,831063.OC,2341.007,10286.102923,信息技术业,11043.688821
11100.724414,浩驰科技,股转系统挂牌股票(非园区类,13.4388,0,6833.0,,7874.525785,451.269362,-11.8548,,397.772281673624,350.61717322577925,309.05220857420954,正常交易,831064.OC,,3763.198511,制造业,3226.198629
1413.631621,鑫干线,股转系统挂牌股票(非园区类,63.4543,0,1000.0,,1103.5737570000001,73.258627,186.1537,,209.632271729699,599.8705019485876,1716.5516365344556,正常交易,831065.OC,,632.830755,信息技术业,310.057864
25407.248556,圣维科技,股转系统挂牌股票(非园区类,97.023,0,5000.0,,11823.202451000001,231.77359,117.4077,,503.89363122643005,1095.5035540958634,2381.7090803780725,正常交易,831066.OC,1604.1666,3609.680729,制造业,13584.046105000001
8945.465437,根力多,股转系统挂牌股票(非园区类,7.6087,0,3000.0,,5647.736859000001,706.795904,47.5527,,1042.896439841408,1538.821855189873,2270.573195522748,正常交易,831067.OC,,14468.750773,制造业,3297.728578
,凌志环保,股转系统挂牌股票(非园区类,,0,10752.2388,,,,,,,,,正常交易,831068.OC,6683.1138,,社会服务业,
41122.139139,瑞明节能,股转系统挂牌股票(非园区类,-4.5987,0,5300.0,,15633.081322,360.071067,-20.1387,,287.557435030071,229.64710586167013,183.39916415350595,正常交易,831069.OC,3300.0,8597.95876,建筑业,25285.069385
5111.299392,威尔圣,厦门火炬高新区,3.0355,0,2530.0,,3193.857841,122.346066,-0.8075,,121.35812151704998,120.3781546857998,119.40610108671196,正常交易,831070.OC,977.5,1085.225477,制造业,1917.4415510000001
6277.427565999999,北塔软件,股转系统挂牌股票(非园区类,-31.6293,0,3420.0,,4301.92914,-1347.561098,-80.8686,,-257.80730390277193,-49.32214653885491,-9.436017142934487,正常交易,831071.OC,1215.675,1053.28158,信息技术业,1975.498426
2586.981602,瑞聚股份,股转系统挂牌股票(非园区类,144.9756,0,1000.0,,1200.0754650000001,159.669269,243.6265,,548.6659206402851,1885.3614997889892,6478.601734072411,正常交易,831072.OC,,1364.443663,信息技术业,1386.906137
9439.646945999999,瑞恒科技,股转系统挂牌股票(非园区类,126.471,0,4800.0,,5615.823642,797.028478,676.1888,,6186.445779046464,48018.49925503139,372714.2131456371,正常交易,831073.OC,,6080.161171,信息技术业,3778.862149
90987.65390599999,佳力科技,股转系统挂牌股票(非园区类,3.0312,0,49305.0,,35254.283082999995,1265.582004,71.8786,,2175.2646303271445,3738.8143929014714,6426.22183511755,正常交易,831074.OC,3018.9833,15500.996291,制造业,55733.370823000005
14010.862086000001,宏海科技,股转系统挂牌股票(非园区类,59.4329,0,3000.0,,6629.427503,612.235801,49.8607,,917.500857029207,1374.9732068499688,2060.5444725978114,正常交易,831075.OC,890.175,12484.424784,制造业,7190.301143000001
1545.173625,展博股份,股转系统挂牌股票(非园区类,107.2172,0,1000.0,,1051.29944,24.259017,-34.0476,,15.999403927908,10.551990876149596,6.9592912306016865,正常交易,831076.OC,,1084.259736,制造业,493.87418499999995
4005.222097,中鼎科技,合肥高新区,24.8008,0,2000.0,,2522.90961,107.930783,323.5084,,457.0959321907721,1935.839668886224,8198.443608265345,正常交易,831077.OC,813.0,1629.653935,信息技术业,1482.312487
1334.816557,斯科电气,惠州高新区,13.6556,0,1004.5,,1096.162519,11.030956,786.8854,,97.83193824442398,867.6571768268125,7695.124823329182,正常交易,831078.OC,260.5,425.173035,制造业,238.65403799999999
7395.623672,瑞琦科技,成都高新区,26.2468,0,1000.0,,2198.063001,281.752312,28.0299,,360.72720330128806,461.8386776594358,591.2915971686981,正常交易,831079.OC,,4594.951946,制造业,5197.560671
2872.6064899999997,立思股份,股转系统挂牌股票(非园区类,11.035,0,2000.0,,1780.61948,-271.595381,-112.1477,,32.99259209773701,-4.007841110256801,0.48686051455066565,正常交易,831080.OC,,627.803132,社会服务业,1091.98701
9996.143795,西驰电气,西安高新区,1.3865,0,2000.0,,5816.388671,565.104112,9.1119,,616.595833581328,672.7794293414249,734.0824181635861,正常交易,831081.OC,,4053.868743,制造业,4061.4486770000003
,汇鑫嘉德,唐山高新区,,0,79200.0,,,,,,,,,正常交易,831082.OC,1910.1,,社会服务业,
12797.515348,东润环能,股转系统挂牌股票(非园区类,408.41900000000004,0,2000.0,,3780.8368189999997,200.97552,118.3438,,438.8175874377599,958.1309954799275,2092.019624508702,正常交易,831083.OC,,3616.511479,信息技术业,9001.592954000002
3835.3184020000003,绿网天下,股转系统挂牌股票(非园区类,53.0377,0,2500.0,,3194.9638640000003,453.213125,592.9189,,3140.399400405625,21760.420980897252,150782.06969620244,正常交易,831084.OC,,1342.454779,信息技术业,640.3545379999999
5847.091881,博冠股份,广州高新区,6.6075,0,700.0,,1491.92405,137.236716,-56.0823,,60.271209222732004,26.469728852811777,11.624896108391319,正常交易,831085.OC,175.0,7148.102013,制造业,4355.167831000001
10845.384367,星城石墨,股转系统挂牌股票(非园区类,-12.6783,0,6000.0,,6739.894820999999,278.850601,-53.1608,,130.611390703592,61.17733051443687,28.654972194318116,正常交易,831086.OC,,2522.903091,制造业,4105.489546
54121.082964999994,秋乐种业,郑州高新区,-35.1586,0,65168.28,,23553.792053999998,1068.823229,-65.9612,,363.8146012728519,123.8381244980635,42.153011521646825,正常交易,831087.OC,7147.2292,15581.593149,农、林、牧、渔业,30567.290911
17848.117975,华恒生物,股转系统挂牌股票(非园区类,41.0989,0,1000.0,,4421.80647,2376.257311,262.3315,,8609.928758805963,31196.484020713033,113034.68849950984,正常交易,831088.OC,250.0,11402.196256,制造业,13426.311505000001
2134.104613,金东唐,股转系统挂牌股票(非园区类,2.3154,0,700.0,,1552.7389970000002,137.044176,-22.1307,,106.71534054196799,83.09848867264667,64.70821143996925,正常交易,831089.OC,,1359.393236,信息技术业,574.573166
5556.613018999999,精冶源,股转系统挂牌股票(非园区类,-30.1991,0,770.0,,1432.2627619999998,658.079993,928.6092,,6769.0713513573555,69627.29067462609,716192.717589946,正常交易,831091.OC,,3355.484039,制造业,4124.350257
3894.6072719999997,乾元泽孚,股转系统挂牌股票(非园区类,-60.9251,0,2064.0,,2088.480733,8.458538,202.1267,,25.555501727646003,77.20999403817986,233.27200705774953,正常交易,831092.OC,,563.336708,制造业,1806.126539
8344.233237999999,鑫航科技,股转系统挂牌股票(非园区类,-9.5299,0,5100.0,,5078.077584000001,-174.785442,-772.0933,,1174.7212450573859,-7895.222781707271,53063.26333592819,正常交易,831093.OC,,117.814905,制造业,3266.1556539999997
1703.586241,光大灵曦,成都高新区,-21.4596,0,1000.0,,1140.893042,11.975593,-35.1542,,7.765669085593999,5.035710243906114,3.2654465933428707,正常交易,831094.OC,,267.960501,信息技术业,562.693199
1094.362372,中网科技,股转系统挂牌股票(非园区类,11.4679,0,8244.96,,957.93315,0.575766,101.8027,,1.161911333682,2.344768442976285,4.731806026674104,正常交易,831095.OC,360.3333,408.989388,信息技术业,104.245527
1205.964602,物润船联,股转系统挂牌股票(非园区类,131.91899999999998,0,1008.0,,1137.0412919999999,86.425005,1073.7273,,1014.393877711365,11906.217872226907,139746.5295638063,正常交易,831096.OC,,194.263978,信息技术业,68.92331
933.8057140000001,思为同飞,武汉东湖,3.457,0,660.0,,749.851024,-137.074279,-672.0397,,784.119294368763,-4485.473659149188,25658.690063376045,正常交易,831097.OC,170.236,319.762378,信息技术业,183.95469
